hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:3:47::9::99::992,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:48::6::66::668,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:48::0::6::65,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:49::4::41::417,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:49::8::81::816,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:49::0::9::90,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:50::3::39::390,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:50::5::59::592,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:50::7::79::790,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:50::9::99::990,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:50::1::14::141,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:51::3::36::367,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:51::5::54::541,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:51::7::74::740,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:51::9::94::941,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:51::1::11::116,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:51::2::29::290,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:52::5::51::515,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:52::7::74::741,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:52::9::94::941,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:52::1::11::116,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::3::31::316,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::4::46::468,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::6::61::616,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::7::79::791,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::9::99::990,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::1::14::142,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:3:53::2::29::290,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
