hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-17:47:30::0::2::20,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::3::30::304,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::3::30::304,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::4::41::416,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::4::44::445,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::4::49::490,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::5::51::514,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::5::56::566,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::6::61::615,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::6::63::639,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::6::68::689,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:31::7::71::715,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::7::76::765,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::7::79::796,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::8::84::841,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::8::89::890,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::9::91::915,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::9::96::964,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::9::99::992,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::0::4::40,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::0::9::91,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::1::11::115,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::1::16::168,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::2::21::215,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::2::23::239,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::2::29::291,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::3::31::315,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::3::36::366,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::4::41::415,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::4::44::440,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::4::48::489,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::5::51::517,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::5::56::564,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::6::61::614,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::6::63::639,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::6::69::691,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:32::7::71::716,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:33::7::76::766,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:33::8::81::814,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:47:33::8::84::840,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
