hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-17:49:46::0::2::20,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::3::30::300,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::3::30::300,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::3::30::300,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::4::41::419,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::4::47::471,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::4::49::494,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::5::54::545,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::5::57::571,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::6::62::620,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::6::65::650,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::6::69::695,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::7::74::747,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::7::77::773,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::8::82::822,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::8::84::844,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::8::89::896,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::9::92::922,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::9::97::972,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-17:49:48::0::2::21,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
