hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
12/5/2023-21:57:4::5::51::516,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::5::51::516,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::5::59::598,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::6::62::622,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::6::67::676,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::7::72::724,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::7::74::747,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::8::80::800,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::8::82::824,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::8::87::872,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::9::90::904,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::9::94::949,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::0::0::3,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::0::2::28,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::0::7::76,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::1::10::101,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::1::15::153,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:4::1::17::176,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::2::23::230,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::2::25::252,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::3::30::304,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::3::35::355,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::4::40::404,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::4::42::429,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::4::47::477,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::5::50::504,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::5::55::554,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::5::58::580,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::6::65::654,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::7::70::703,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::7::75::753,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::7::77::778,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::8::83::836,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::8::86::861,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::9::91::914,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::9::94::947,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::9::99::990,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::0::1::19,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::0::6::67,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::1::10::104,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::1::15::150,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:5::1::17::174,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::2::22::229,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::2::27::272,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::2::29::298,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::3::35::350,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::3::39::399,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::4::42::429,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::4::47::477,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::5::50::503,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::5::55::553,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::5::57::578,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::6::62::627,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::6::65::653,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::7::70::704,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::7::75::755,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::7::78::780,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::8::82::828,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::8::86::863,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::9::90::904,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::9::95::953,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::9::97::977,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::0::2::27,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::0::7::78,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::1::10::103,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::1::15::153,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:6::1::17::178,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::2::22::227,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::2::25::255,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::3::30::302,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::3::35::354,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::4::40::402,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::4::42::429,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::4::47::477,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::5::50::503,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::5::55::552,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::5::57::577,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::6::65::653,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::7::70::704,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::7::75::753,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::7::77::778,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::8::82::827,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::8::85::852,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::9::90::902,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::9::95::952,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::0::0::2,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::0::2::29,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::0::7::79,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::1::10::103,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::1::15::153,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:7::2::20::203,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::2::23::230,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::2::27::278,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::3::30::303,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::3::35::353,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::3::38::380,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::4::42::429,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::4::47::477,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::5::50::502,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::5::55::553,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::5::57::577,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::6::62::627,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::6::65::653,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::7::70::703,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::7::72::728,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::7::78::780,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::8::82::828,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::8::85::855,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::9::90::902,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::9::95::953,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::9::97::977,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::0::2::27,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::0::7::77,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::1::10::103,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::1::15::152,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:8::1::17::179,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::2::22::227,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::2::27::278,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::3::30::303,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::3::35::354,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::4::40::403,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::4::42::429,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::4::47::479,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::5::50::503,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::5::55::552,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::5::57::577,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::6::67::678,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::7::70::703,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::7::75::753,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::7::77::778,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::8::82::829,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::8::85::853,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::9::90::904,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::9::95::956,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::9::97::979,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::0::2::27,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::0::7::78,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::1::10::104,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::1::15::153,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:9::1::17::177,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::2::23::230,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::2::27::279,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::3::30::303,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::3::35::354,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::4::40::403,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::4::42::427,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::4::47::479,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::5::50::504,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::5::55::555,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::6::60::604,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::6::67::677,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::7::70::702,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::7::75::755,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::7::77::777,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::8::82::829,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::8::85::853,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::9::90::902,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::9::95::953,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::9::97::977,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::0::2::28,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::0::5::54,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::1::10::103,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::1::15::153,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:10::1::17::179,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::2::22::229,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::2::27::278,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::3::30::303,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::3::35::355,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::3::37::378,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::4::42::427,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::4::47::477,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::5::52::528,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::5::55::554,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::6::60::603,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::6::62::628,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::6::67::679,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::7::70::704,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::7::75::755,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::8::80::804,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::8::82::828,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::8::87::877,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::9::90::905,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::9::95::954,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::9::97::979,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::0::2::27,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::0::5::52,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::1::10::104,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::1::15::155,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:11::1::17::177,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:57:12::2::22::228,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
