hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:38:52::9::91::911,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:38:52::9::91::911,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:38:52::9::91::911,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:38:52::9::91::911,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:25::7::71::713,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:25::1::10::102,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:25::3::38::384,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:26::6::63::634,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:32::1::19::193,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:32::5::57::578,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:33::7::77::777,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:33::9::95::954,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:33::1::10::104,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:33::3::32::328,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:34::7::75::755,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:42::0::5::56,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:43::4::45::456,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:44::8::86::861,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:39:44::3::39::394,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:0::1::16::164,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:0::1::16::164,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:0::1::16::164,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:0::1::16::164,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:3::8::80::808,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:3::4::46::463,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:4::7::74::743,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:5::0::6::62,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:5::3::31::314,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:5::5::58::584,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:6::8::83::834,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:6::0::3::35,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:6::2::26::262,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:6::4::43::436,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:7::6::63::634,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:7::7::78::785,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:7::9::98::984,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::6::67::671,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::8::83::835,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::9::98::985,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::1::16::160,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::3::30::309,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::4::46::460,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:8::5::58::586,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:9::7::73::735,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:9::9::91::911,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:9::0::5::59,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:9::2::23::234,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:9::3::38::385,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:9::5::50::509,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:10::6::67::674,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:10::8::83::835,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:10::9::93::935,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:10::1::13::134,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:10::3::31::310,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:10::4::46::461,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:11::6::63::634,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:11::7::78::784,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:11::9::93::935,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:11::1::11::112,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:11::3::31::316,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:11::4::46::460,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:12::6::63::635,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:12::7::78::784,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:12::9::98::984,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:12::1::18::184,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:12::3::33::335,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:12::5::51::511,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:13::7::71::710,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:13::8::86::861,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:13::0::3::35,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:13::1::18::184,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:13::3::33::336,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:13::5::53::538,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:14::6::68::685,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:14::9::91::910,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:14::0::6::60,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:14::2::26::261,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:14::4::46::460,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:14::5::58::585,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:15::7::78::784,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:15::9::93::935,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:15::1::13::134,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:40:15::3::33::335,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
