hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
12/5/2023-21:58:41::0::2::24,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::3::33::337,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::4::41::410,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::4::43::437,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::4::46::462,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::5::51::519,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::5::54::545,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::5::59::597,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::6::61::619,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::6::67::670,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::7::72::720,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::7::74::745,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::7::79::796,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::8::84::847,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::8::87::871,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::9::91::919,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::9::94::946,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::9::99::994,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::0::4::45,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::0::7::72,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::1::12::123,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:48::1::14::148,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::1::19::196,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::2::22::221,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::2::27::272,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::3::32::321,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::3::34::347,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::3::39::395,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::4::42::427,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::4::47::475,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::4::49::498,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::5::54::548,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::5::59::597,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::6::62::622,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::6::65::651,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::7::72::724,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::7::74::748,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::7::79::797,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::8::82::822,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::8::84::848,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::9::92::921,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::9::94::949,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::9::99::997,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::0::4::49,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::0::7::72,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::1::12::122,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:49::1::14::149,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:50::2::20::200,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:50::2::24::247,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:58:50::2::27::271,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
