hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-16:1:51::5::56::569,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:51::5::56::569,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:51::5::56::569,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:52::8::85::856,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:52::8::85::856,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:53::7::74::745,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:59::7::72::729,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:1:59::0::9::95,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:0::5::52::520,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:0::7::72::720,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:0::8::87::871,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:0::0::2::20,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:0::1::19::195,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:1::3::34::346,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:1::5::52::520,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:1::6::64::646,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:1::8::87::870,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:1::0::7::72,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:1::2::27::270,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:2::5::52::521,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:2::8::87::870,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:2::2::22::220,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:3::4::47::470,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:3::7::72::720,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:3::0::7::73,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:4::4::42::422,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:4::6::67::671,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:4::8::89::895,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:4::2::22::225,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:5::4::42::426,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:5::6::67::672,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:5::8::89::896,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:5::1::14::146,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:6::3::39::396,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:6::5::59::596,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:6::7::79::795,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:6::9::99::994,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:7::3::39::394,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:7::6::61::619,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:7::8::87::874,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:7::1::14::146,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:8::3::34::346,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:19::3::34::346,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:19::8::82::821,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:19::2::22::222,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:20::6::62::622,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:20::0::2::24,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:21::3::34::346,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:21::5::59::597,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:21::8::82::821,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:22::5::59::596,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:23::3::37::370,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:2:24::5::59::596,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
