hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
6/5/2023-8:36:58::8::80::809,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::8::84::840,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::8::88::888,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::9::93::935,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::9::96::965,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::0::1::13,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::0::6::60,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:58::0::9::90,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::1::13::139,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::1::18::185,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::2::21::218,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::2::26::264,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::2::29::295,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::3::34::342,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::3::37::373,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::4::41::418,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::4::46::465,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::4::49::495,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::5::54::542,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::5::55::559,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::6::62::621,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::6::63::636,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::6::69::698,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::7::74::745,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::7::75::759,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::8::82::823,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::8::83::838,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::8::88::886,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::9::91::917,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::9::96::964,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::0::1::12,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:36:59::0::4::41,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
