hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:43:36::7::79::799,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:36::2::26::260,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:38::0::0::0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:38::3::37::375,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:38::6::64::649,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:39::9::94::949,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:39::2::20::200,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:40::1::11::113,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:40::6::63::633,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:41::0::6::60,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:41::4::45::450,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:43:42::9::90::900,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
