hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:12:39::7::73::732,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:40::2::28::289,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:40::4::49::491,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:40::6::66::660,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:41::0::9::91,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:54::9::97::974,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:58::0::1::11,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:12:58::2::22::229,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
