hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-14:58:0::8::86::866,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:1::4::46::466,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:2::0::6::64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:2::5::59::590,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:3::0::6::66,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:3::5::51::514,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:4::8::88::889,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:4::2::23::239,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:4::3::38::388,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:4::6::63::639,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:4::8::83::839,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:5::0::3::39,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:5::2::24::241,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:8::3::31::314,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:8::5::51::514,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:8::7::71::714,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:9::1::14::140,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:9::3::33::339,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:9::5::54::546,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:9::7::71::714,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:9::8::86::864,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:10::0::6::64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:10::2::24::240,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:10::4::41::414,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:10::5::59::592,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:10::7::74::740,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:10::8::86::865,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:11::0::4::45,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:11::1::18::189,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:11::3::34::340,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:11::5::51::515,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:11::6::66::665,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:11::8::84::840,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:12::9::99::990,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:12::1::11::114,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-14:58:12::2::28::289,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
