hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-16:37:18::1::14::141,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:19::5::59::593,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:19::8::86::867,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:19::0::9::92,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:20::2::24::242,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:20::4::46::467,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:20::8::81::817,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-16:37:21::3::34::342,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
