hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:51:36::1::16::161,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:36::1::16::161,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:36::1::16::161,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:36::1::16::161,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:39::0::6::61,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:39::0::6::61,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:39::0::6::61,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:39::0::6::61,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:41::0::8::87,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:41::0::8::87,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:41::0::8::87,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:41::0::8::87,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::2::28::286,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::2::28::286,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::2::28::286,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:45::2::28::286,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::7::73::737,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::2::21::214,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::2::21::214,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::2::21::214,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:46::2::21::214,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:47::6::67::675,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:47::6::67::675,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:47::6::67::675,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:47::6::67::675,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:48::7::73::739,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:48::7::73::739,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:48::7::73::739,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:48::7::73::739,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::5::56::565,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::5::56::565,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::5::56::565,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::5::56::565,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::0::6::64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::0::6::64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::0::6::64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:49::0::6::64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:50::6::66::666,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:50::6::66::666,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:50::6::66::666,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:50::6::66::666,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:51::7::71::714,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:51::7::71::714,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:51::7::71::714,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:51::7::71::714,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:54::6::69::690,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:54::6::69::690,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:54::6::69::690,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:54::6::69::690,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:55::4::41::415,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:55::4::41::415,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:55::4::41::415,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:56::4::49::490,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:56::4::49::490,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:57::3::39::390,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:58::3::31::317,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:58::7::74::740,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:58::0::3::39,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:59::3::36::366,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:51:59::1::11::117,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:0::2::24::244,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:1::6::69::691,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:2::2::26::268,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:3::6::63::631,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:3::9::96::968,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:3::2::24::241,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:4::5::54::540,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:4::8::84::841,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:5::3::37::375,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:5::7::79::792,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:5::1::16::167,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:6::4::47::470,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:6::7::76::769,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:6::0::3::30,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:6::2::29::292,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:7::5::54::542,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:7::8::82::821,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:7::0::6::68,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:7::2::24::241,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:8::4::44::441,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:8::5::59::591,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:8::7::79::792,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:8::9::98::980,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:9::0::2::20,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:10::4::49::494,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:12::8::84::845,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:12::2::23::235,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:13::4::49::494,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:13::7::79::794,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:14::3::39::394,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:16::3::34::347,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:52:16::8::84::846,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
