hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
6/5/2023-8:42:50::2::26::260,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:50::2::26::260,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:50::2::26::260,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:50::3::37::377,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:50::4::40::402,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:50::4::45::453,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::5::50::503,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::5::55::552,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::5::57::577,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::6::60::602,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::6::65::652,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::7::70::702,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::7::75::752,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::7::77::777,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::8::80::802,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::8::85::852,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::9::90::901,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::9::95::952,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::9::97::978,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::0::0::2,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::0::5::52,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::1::10::102,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::1::12::127,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::1::17::177,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::2::20::202,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::2::25::252,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::3::30::302,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::3::32::327,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::3::37::377,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::4::40::402,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:51::4::45::452,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::5::50::502,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::5::53::533,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::5::57::577,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::6::60::602,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::6::65::652,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::7::70::702,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::7::73::733,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::7::77::778,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::8::80::802,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::8::85::853,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::9::90::902,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::9::92::927,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::9::98::984,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::0::2::27,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::0::5::59,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::1::10::103,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::1::15::152,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::1::17::177,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::2::22::228,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::2::25::252,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::2::27::277,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::3::35::352,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::3::37::377,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::4::41::410,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::4::45::453,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:52::4::47::478,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:53::5::55::552,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:53::5::57::578,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:53::6::62::627,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6/5/2023-8:42:53::6::65::652,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
