hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:49:7::1::17::172,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:7::1::17::172,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:7::1::17::172,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:8::1::18::183,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:8::1::18::183,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:9::2::29::294,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:20::5::52::520,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:21::0::2::21,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:21::4::44::446,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:22::7::71::719,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:22::3::34::345,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:23::7::77::770,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:23::1::12::120,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:24::6::69::695,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:25::2::24::245,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:25::5::57::570,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:26::8::87::872,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:26::2::20::200,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:26::4::47::471,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:27::7::77::770,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:27::0::7::71,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:27::4::47::471,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:28::8::87::871,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:34::4::42::422,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:35::8::87::874,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:35::2::22::220,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:35::4::47::471,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:36::7::74::748,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:36::0::2::21,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:36::2::22::221,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:36::4::42::421,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:37::6::67::671,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:37::8::87::871,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:37::0::7::72,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:37::3::32::320,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:37::5::52::523,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:38::1::12::121,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:38::5::59::596,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:39::0::2::20,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:40::7::72::721,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:41::9::97::972,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:41::3::39::395,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:42::7::72::720,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:45::7::72::721,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:45::2::22::221,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:45::5::59::597,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:46::8::89::896,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:49:46::1::15::158,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:1::8::84::848,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:1::3::39::398,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:2::7::74::746,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:2::0::8::83,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:2::3::34::348,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:3::7::79::796,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:50:3::2::27::272,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
