hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
12/5/2023-21:55:47::7::73::735,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::7::79::791,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::7::79::791,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::8::87::875,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::9::90::900,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::9::95::950,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::0::0::2,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::0::2::27,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::0::8::80,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::1::10::103,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::1::15::155,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::1::17::178,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:47::2::22::229,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::2::25::252,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::3::30::302,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::3::33::330,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::3::37::378,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::4::42::428,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::4::47::478,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::4::47::478,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::5::55::554,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::5::58::580,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::6::63::630,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::6::65::656,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-21:55:48::7::70::704,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
