hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
5/5/2023-15:13:41::0::3::36,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:41::4::48::486,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:42::7::75::759,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:42::9::96::963,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:42::2::21::210,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:42::5::51::510,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:43::8::81::811,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:43::1::11::110,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:43::4::43::436,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:44::8::83::836,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:44::1::16::161,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:44::4::48::486,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:45::8::83::837,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:45::1::11::112,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:45::4::41::410,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:46::6::68::687,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:46::9::96::960,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:46::2::28::285,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:46::5::56::561,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
5/5/2023-15:13:47::8::81::811,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
